ID_PER,ap_reun_aut,ap_firma_pet,ap_resol_prob,ap_rec_part_pol,ap_protest,ap_toma_carr,ap_pinta,ap_busca_apoyo_osc,ap_acudir_medios,ap_presion_rs,ap_huelga
0160196.08.02,2,2,2,2,2,2,2,2,2,2,2
0160196.12.01,2,2,2,2,2,2,2,2,2,1,2
0160196.15.01,2,2,2,2,2,2,2,2,2,2,2
0160196.20.02,2,2,2,2,1,2,2,2,2,1,1
0160206.07.02,2,2,2,2,2,2,2,2,2,2,2
0160206.08.02,2,2,2,2,2,2,2,2,2,2,2
0160206.17.01,2,2,1,2,2,2,2,2,2,2,2
0200191.02.02,2,2,2,2,2,2,2,2,2,2,2
0200492.03.01,2,2,2,2,2,2,2,2,2,2,2
0200519.02.01,1,1,1,2,1,2,2,2,1,1,2
0200519.04.02,1,1,1,1,1,2,1,1,1,2,2
0201438.04.02,2,1,2,2,1,1,2,2,2,2,1
0201438.05.02,1,1,1,2,1,2,1,2,2,2,2
0201506.05.02,2,1,1,2,2,2,2,2,2,2,2
0201507.02.02,1,1,1,2,1,2,2,2,2,2,2
0201895.04.01,2,2,2,2,2,2,2,2,2,2,2
0202381.05.01,1,1,2,2,1,2,2,2,1,1,2
0202528.01.02,2,2,2,2,2,2,2,1,2,2,2
0202528.02.01,2,2,2,2,2,2,2,1,2,2,2
0202760.02.03,2,2,2,2,2,2,2,2,2,2,2
0202801.01.02,2,2,2,2,2,2,2,2,2,2,2
0202801.03.02,2,2,2,2,1,2,2,2,2,2,1
0202801.04.02,2,2,1,2,1,1,2,2,2,2,2
0202801.05.02,2,2,2,2,2,2,2,2,2,2,2
0203282.01.03,2,2,2,2,2,2,2,2,2,2,2
0203282.05.01,2,2,2,2,2,2,2,2,2,2,2
0203527.05.02,2,2,2,2,2,2,2,2,2,2,2
0203570.02.04,1,1,1,2,1,1,1,2,1,2,1
0203570.04.01,2,2,2,2,2,2,2,2,2,1,2
0204165.03.03,2,1,1,2,1,1,2,1,2,1,1
0204217.03.01,2,1,1,2,2,2,2,2,2,2,2
0204246.01.01,2,2,2,1,2,2,1,2,1,1,2
0204379.01.01,2,2,2,2,2,2,2,2,2,2,2
0204500.02.01,2,2,2,2,2,2,2,2,2,2,2
0204500.05.01,1,1,1,1,1,2,2,2,2,2,2
0204597.02.01,2,1,2,2,2,2,1,2,2,2,2
0204597.03.01,2,2,2,2,1,2,2,2,2,1,2
0204612.01.01,2,2,2,2,2,1,2,2,1,2,2
0204932.02.01,2,1,2,2,2,2,2,2,1,1,2
0205193.02.03,2,2,2,2,2,2,2,2,2,1,2
0205793.03.04,2,2,2,2,2,2,2,2,2,2,2
0205880.01.03,1,1,1,1,1,2,2,1,2,1,2
0207072.13.03,2,2,2,2,1,2,2,1,1,2,2
0207072.17.01,2,2,2,2,2,2,2,2,2,2,2
0207176.17.01,2,1,1,2,2,2,2,2,2,2,2
0207176.19.01,2,2,2,2,2,2,2,2,2,2,2
0207496.01.02,2,1,2,2,2,2,2,2,2,2,2
0208069.06.01,2,2,2,2,2,2,2,2,2,2,2
0260105.08.01,1,1,1,1,2,2,1,1,2,2,2
0260105.09.02,1,1,1,1,2,2,2,2,2,2,2
0260105.14.01,2,2,2,2,2,2,2,2,2,2,2
0260105.18.02,2,1,2,2,2,2,2,2,2,2,2
0260205.14.01,2,2,1,2,2,2,2,2,1,1,2
0260247.05.03,2,2,2,2,2,2,2,2,2,2,2
0260247.11.02,1,1,2,2,1,2,2,1,2,2,2
0260247.18.01,2,2,2,2,2,2,2,2,2,2,2
0260310.13.01,2,2,2,2,2,2,2,2,2,2,2
0260310.18.01,1,1,1,2,2,2,2,2,2,2,2
0260310.21.01,1,1,1,1,2,2,2,1,1,2,2
0260319.05.01,1,1,1,1,1,1,1,1,2,2,2
0300007.02.04,1,2,1,1,1,1,2,2,1,1,2
0300007.03.01,2,2,2,2,2,2,2,2,2,2,2
0300024.05.01,2,2,2,2,1,2,2,2,2,2,1
0300072.02.04,1,1,1,2,2,2,2,2,2,1,2
0300092.04.01,2,2,2,2,1,2,2,2,2,2,2
0300154.02.01,1,2,2,1,1,2,2,1,2,1,2
0300158.01.02,1,1,1,2,2,2,1,1,1,2,2
0300158.05.02,2,1,1,1,1,2,2,2,1,1,2
0300182.02.01,2,2,1,2,1,2,2,1,1,1,1
0300232.03.01,2,1,2,2,1,2,2,1,2,2,2
0300269.01.03,2,2,2,2,2,2,2,2,2,2,2
0300269.03.01,1,1,1,2,1,2,2,2,2,1,1
0300269.05.01,2,2,2,2,2,2,2,2,2,2,2
0300283.03.01,2,2,2,2,2,2,2,2,2,2,2
0300303.03.01,1,2,1,2,1,2,2,2,2,2,2
0300367.02.01,2,2,2,2,2,2,1,2,2,2,2
0300370.01.01,2,2,2,2,2,2,2,2,2,2,2
0300393.04.01,1,1,1,1,1,2,2,1,1,2,2
0300407.04.01,1,2,2,1,2,2,2,2,2,2,2
0300442.01.01,2,2,1,2,2,2,2,2,2,2,2
0300442.02.01,1,1,1,2,1,2,2,2,2,1,2
0300442.05.01,2,2,2,2,2,2,2,2,2,2,2
0300446.02.02,1,1,1,1,1,2,2,1,2,2,2
0300448.01.01,2,1,2,2,2,2,2,2,2,2,2
0300487.01.01,1,1,2,1,1,2,2,2,2,2,2
0300497.04.01,2,2,2,2,2,2,2,2,2,2,2
0300569.03.01,2,2,2,2,2,2,2,2,2,2,2
0300761.10.03,2,1,2,2,2,2,2,2,2,2,2
0300761.15.01,1,2,2,2,2,2,2,2,2,2,2
0300798.08.01,2,2,2,2,2,2,2,2,2,2,2
0300798.11.01,2,2,2,2,2,2,2,2,2,2,2
0300813.06.02,2,1,2,2,2,2,2,2,2,2,2
0300829.17.01,1,1,2,2,2,2,2,2,2,2,2
0300829.20.01,2,2,2,2,2,2,2,2,2,2,2
0300950.07.02,2,2,2,2,2,2,2,1,2,1,2
0300950.09.01,1,1,1,2,2,2,2,2,1,2,2
0300950.15.01,2,2,2,2,2,2,2,1,1,1,2
0300950.20.01,2,2,2,2,2,2,2,2,2,2,2
0301046.02.02,1,1,1,2,2,2,2,2,2,1,2
0301046.19.02,2,1,1,2,2,2,1,2,2,2,2
0301077.12.01,1,1,2,2,2,2,1,2,2,2,1
0301105.09.01,2,2,2,2,1,2,2,2,2,2,2
0301105.13.01,2,1,1,1,2,2,2,2,2,2,2
0301105.15.01,1,2,2,2,2,2,2,2,2,2,2
0301105.17.01,2,2,2,2,2,2,1,2,2,1,1
0301330.01.02,2,2,2,2,2,2,2,2,2,2,2
0301330.16.01,2,1,1,1,2,2,2,2,2,2,2
0301354.04.01,1,1,2,2,2,2,2,2,2,2,2
0301354.19.01,2,2,2,2,2,2,2,2,2,2,2
0360028.06.02,2,2,2,2,2,2,2,2,2,2,1
0360028.18.04,2,2,2,2,2,2,2,2,2,2,2
0360104.03.01,1,2,1,2,2,2,2,2,2,2,2
0360104.04.02,1,2,2,2,2,2,2,2,2,2,2
0360104.08.02,2,2,1,2,2,2,1,2,2,2,2
0360104.18.01,2,2,2,2,2,2,2,2,2,2,2
0360104.20.01,1,2,1,2,2,2,2,2,2,2,2
0400071.05.03,2,2,2,2,2,2,2,2,2,1,1
0400104.03.02,1,1,1,1,2,2,2,2,2,1,2
0400128.02.02,2,2,1,2,2,2,2,2,2,2,2
0400141.01.01,1,2,2,2,2,2,2,2,2,2,2
0400217.01.03,1,1,2,1,2,2,2,1,2,2,2
0400217.04.02,2,2,2,2,2,2,1,2,2,2,2
0400227.03.02,1,1,1,2,2,2,2,2,2,2,2
0400255.04.02,2,2,2,2,2,2,2,2,2,2,2
0400256.05.03,2,2,2,2,2,2,2,2,2,2,2
0400282.04.02,1,2,1,1,2,2,2,1,1,2,2
0400285.02.01,1,1,2,2,1,2,2,2,1,1,2
0400301.01.04,2,2,2,2,2,2,2,2,2,2,2
0400301.03.04,2,2,2,2,2,2,2,2,2,2,2
0400413.01.01,2,2,2,2,2,2,2,2,2,2,2
0400413.03.01,2,2,2,2,2,2,2,2,2,2,2
0400420.01.01,2,2,2,2,2,2,2,1,2,2,2
0400420.05.04,2,2,2,2,2,2,2,2,2,2,2
0400428.03.02,1,1,2,2,1,2,2,2,1,1,2
0400428.04.04,2,2,2,2,2,2,2,1,2,1,2
0400428.05.01,2,1,1,2,2,2,2,2,2,1,2
0400434.01.02,1,1,2,2,2,2,2,2,2,2,2
0400493.01.01,1,1,1,2,1,2,1,2,2,2,2
0400493.03.04,2,2,2,2,2,2,2,2,2,2,2
0400493.04.02,2,2,2,2,2,2,2,2,2,2,2
0400494.02.02,2,2,2,2,2,2,2,2,2,2,2
0400580.03.03,2,2,2,2,2,2,2,2,2,2,2
