"","CVE_ENT","FAC_SEL","dona_sangre_ef","dona_alimen_ef","aux_desconocido_ef","dona_org_social_ef","p_sindicato_ef","p_gpo_estud_ef","p_asoc_prof_ef","p_org_reli_ef","p_org_depor_ef","p_org_cultura_ef","p_asoc_padres_ef","p_voluntariado_ef","p_org_dh_ef","p_org_ambient_ef","p_org_vecinal_ef"
"80","01",1950,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
"81","01",975,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","01",1950,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"83","01",4875,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1
"84","01",975,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1
"85","01",4632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","01",1853,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"87","01",1853,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","01",3547,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"89","01",2661,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0
"90","01",3547,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","01",2661,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","01",3540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","01",2655,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"94","01",1770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","01",1770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","01",2655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","01",1838,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
"98","01",1838,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","01",2758,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"100","01",2758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","01",1838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","01",1908,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"103","01",1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","01",2862,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"105","01",1908,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","01",1908,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"107","01",4771,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"108","01",3817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","01",2863,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"110","01",2863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","01",941,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"112","01",3763,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
"113","01",2822,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"114","01",2822,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","01",1881,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","01",3818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","01",3818,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"118","01",1909,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0
"119","01",3818,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"120","01",809,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"121","01",809,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0
"122","01",3236,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"123","01",1618,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"124","01",1618,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"125","01",1934,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"126","01",2901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127","01",3868,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
"128","01",3868,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
