ID_PER,FAC_SEL,CVE_ENT,d_dona_sangre,d_dona_alimen,d_aux_desconocido,d_dona_org_social,p_sindicato,p_gpo_estud,p_part_pol,p_org_reli,p_org_depor,p_org_cultura,p_asoc_padres,p_voluntariado,p_org_dh,p_org_ambient,p_org_vecinal,p_org_exig_gob,es_vinculo,conoce_vinculo,p_volun,reun_relig,reun_fiestas,reun_prob_pub,reun_vigil,reun_exig_aut,reun_conviv,reun_otro
0101369.01.01,1874,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,3,2,3,3,
0101369.03.03,2811,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,4,4,4,4,4,4,
0101374.03.02,2868,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,4,2,4,4,4,4,
0101375.01.02,3909,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,3,3,2,3,3,
0101375.02.02,1954,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,4,4,4,4,4,
0101375.03.01,977,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,3,3,3,3,
0101375.04.01,4886,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,3,4,3,3,
0101440.02.02,2704,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,4,
0101546.04.02,1798,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,4,2,2,3,4,
0101563.02.02,3411,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,
0101777.03.01,1728,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,4,2,2,4,
0101777.04.01,864,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,
0101804.04.01,1241,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,4,4,4,4,
0101831.01.01,2708,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,4,4,4,4,4,
0101831.02.02,3611,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,2,1,
0101876.03.02,2867,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,3,3,3,2,2,3,3
0101876.04.01,3822,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,4,4,4,4,
0101889.03.01,4531,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,2,3,3,3,
0101941.03.01,952,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,3,4,3,3,2,3,
0101941.04.05,5713,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,3,3,3,
0102016.02.01,578,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,3,3,3,4,4,4,
0102016.03.01,1156,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,,,,,,
0102016.16.01,1734,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,3,3,3,2,3,
0102053.01.01,2045,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,2,3,3,3,
0102053.05.02,2045,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,3,2,4,4,4,
0102060.01.02,1123,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,2,2,3,
0102143.01.04,2409,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,4,4,4,
0102143.02.03,1807,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4,2,3,3,3,2,
0102143.04.03,1807,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,,,,,,,
0102143.14.02,1807,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,
0102143.15.03,2409,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,3,3,2,3,3,3,
0102143.19.02,1205,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,3,4,4,4,
0102209.02.02,1189,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,3,2,3,2,
0102209.04.01,1189,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,4,1,4,3,
0102331.02.01,2321,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,3,3,2,2,2,2,
0102331.05.03,3481,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,2,2,2,3,2,2,
0102331.09.01,1160,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,3,2,1,4,1,
0102331.18.02,6963,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,2,2,3,
0160027.09.04,1110,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,3,1,2,2,2,
0160027.11.02,2219,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,3,3,3,4,
0160073.07.02,1944,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,4,4,4,4,
0160073.08.01,972,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,4,4,4,
0160073.11.01,2916,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,3,
