CVE_ENT,conf_personas,conf_pers_conoce,conf_pers_colonia,conf_empl_gob,conf_empresarios,conf_pastor,conf_gpo_vecinos,conf_sindicato,conf_uni,conf_partidos,conf_orgs_sc,ingreso
1,0.55470427286573332,0.83639069831923551,0.61358975790752623,0.41023342774676663,0.64549520840594055,0.64102035825758119,0.62009407968083,0.37767812271949197,0.51623095926230445,0.21081954839442607,0.6728670811615356,58303.334147280082
2,0.473460032286506,0.73821012331013069,0.5405587182093966,0.29862867626066791,0.46589598761930395,0.4165522846373626,0.49021171613086933,0.34922668849750582,0.40217796731454725,0.20681271972658061,0.56476247468579233,67820.5638907686
3,0.51181117786306352,0.76749225119829545,0.55666155856014687,0.38030983152289383,0.45020500232803085,0.44497183007333674,0.41512933755844561,0.32583240287440235,0.44068644513456623,0.24077112819840549,0.55078497583820407,64265.864413852258
4,0.46520141962225436,0.728290549723417,0.50956254121785,0.33532699840036723,0.42498524107171248,0.51663438367130243,0.49388835199110731,0.3360404042079882,0.42231273443192296,0.23862318209406724,0.465783481337387,47275.789246440982
5,0.51465113740317836,0.83769843519793374,0.59077984535615724,0.33366732025424756,0.58513916168718683,0.62746777265984188,0.59081327225660352,0.42701934444347595,0.50449232154477974,0.30973662141200303,0.65390464278490934,55670.653001607505
6,0.483185477288066,0.79307727392835925,0.56456605050163344,0.36185095235450443,0.509653139984415,0.52175764399765046,0.50920881447558652,0.38496429406943261,0.46052824244015489,0.23285686154716162,0.56586873210706223,56297.277939087762
7,0.38294302876891667,0.70745490435655078,0.59127128398164508,0.30168571273237071,0.27251381012612891,0.57246802330000623,0.42248202731801282,0.23139765252978012,0.3921668712086408,0.18474739560049666,0.33450896656531037,29167.588694192684
8,0.456319415697858,0.77331315030625347,0.55481200317128443,0.29097236351900313,0.511683236393997,0.524196128507181,0.5217836370142217,0.34959201285352454,0.46829276848921975,0.21080727430908797,0.59018831255393644,60263.3282113206
9,0.47478244620208448,0.79666000450855168,0.50900955316801255,0.31559430369302155,0.51180542147947372,0.33808461516059829,0.49678226391853542,0.2652938863823403,0.42535353840412371,0.15234347613649479,0.56858283708704416,67356.701179657277
10,0.44247160099197586,0.771800717157611,0.58515368677143831,0.34489094317657931,0.57834001699121074,0.58910111713101088,0.54523330785398916,0.39069772307315259,0.4644555676850185,0.28424263209844441,0.59899621844689577,50361.290953705255
11,0.43159128528367635,0.78977718366686844,0.54304736160098643,0.30485537215642694,0.50466422799283561,0.61032097509165273,0.570935110627665,0.3576224527138625,0.47948034339370638,0.28700280418249879,0.62990189297501342,48387.707208153588
12,0.5677812491969576,0.77784709029567234,0.61833130299381667,0.448031936228842,0.34597506760453334,0.5401238165715182,0.48239265487592459,0.33260871751192972,0.44464845084039667,0.24613077869324096,0.44425107286467064,32515.690602870469
13,0.39281111866128543,0.74833424278615157,0.51615994701150369,0.27374015045438321,0.38677441108640143,0.44192500274551794,0.46032683675150315,0.31281959544793125,0.43986114543008537,0.21211313936249074,0.48553841322790542,40090.310962136689
14,0.46609068532882308,0.81355860308564465,0.60671009503088436,0.34493948182562273,0.574208485188224,0.60613516870351669,0.62032250365079844,0.31434374296942924,0.50045574821098227,0.22131286482493379,0.54778406197849372,55746.31135977908
15,0.48220914125736242,0.79096909804817139,0.50037078721701411,0.30767638502132433,0.46342219438774851,0.42893010603518772,0.50259585864342216,0.31224781438846566,0.43075580923761819,0.19364422460006608,0.50332274223099649,49620.097065274022
16,0.37463238653857778,0.73420425516360011,0.53002585490603515,0.28122798853329994,0.35527593328618806,0.56703365917919457,0.43816066033345658,0.25296473806969716,0.4038924357177302,0.14825588343219309,0.40466484927812935,46410.411225794021
17,0.44783609723652318,0.75681148112380969,0.52273329027059179,0.27037432607875367,0.41767192586386631,0.45658316332077692,0.52021475943489748,0.3003472732970498,0.43862855827220343,0.16724886640530567,0.4423878077014089,42041.240737278247
18,0.4844128066041466,0.77237656761501117,0.64097267249695566,0.38984193380038906,0.3662535780367846,0.42884945360808441,0.461234640140433,0.31012880932424525,0.4049191086932456,0.24932294055319215,0.49020487720019612,51964.793333082889
19,0.52622028622018058,0.826699384311662,0.60421115651849944,0.36772758959744045,0.53207110182478812,0.57751892579092712,0.58516725943792991,0.33823321836387449,0.50685519801504841,0.27429457979174909,0.60133844038423867,72930.705461969817
20,0.40944839787175052,0.736247574033244,0.57217762697543006,0.30886154496125057,0.28703378530029178,0.44986203345523679,0.49468102662952351,0.22829700434363573,0.39412585981542847,0.18875308609376443,0.38492864027038803,36484.116745603736
21,0.44813623940415959,0.73661258057806123,0.538832597363756,0.28045667024388932,0.40871779852819884,0.49710700311187322,0.53134278313441285,0.27080479230548721,0.44119635847703453,0.19674427894471586,0.4368370452623877,39313.586452868389
22,0.42082571745528807,0.79148162264780486,0.51036652415182149,0.28769996626891592,0.51810336324480855,0.614671073220807,0.59365612073049112,0.35336294037635124,0.48708537861010887,0.20361275741261883,0.60606538472310678,60435.022176898077
23,0.45647433814723032,0.78779200034030494,0.57156854907615273,0.35334140579677192,0.534470176745878,0.500912002569889,0.58472529543822693,0.30411746974476395,0.5285889153000074,0.21648674754287364,0.58425224223551009,46379.605817571435
24,0.46415193940026356,0.77790987947005918,0.57612952848981791,0.33554134124558466,0.49852613229066378,0.54901961710130376,0.56099234287597555,0.34779642258334564,0.45566710751278272,0.27714095633545921,0.57899557910512178,47819.387204759652
25,0.53652095212311446,0.78938133888115214,0.6556901557587711,0.34676880048457731,0.51519548722864317,0.54393845105242578,0.58544758932321284,0.41737081980548085,0.50613578198000908,0.27705193907625997,0.56471457906906264,55834.39574708631
26,0.46423313045701542,0.807077594418935,0.58667431318802421,0.37966321999436586,0.49805975118297868,0.512177826963308,0.51684928614041414,0.38222712771383988,0.40184792798723379,0.24504903835617703,0.570838708919015,61358.108685126848
27,0.43299060716202509,0.72692820973819394,0.5652570557403207,0.31616350405193228,0.37359726915431124,0.60743370954318121,0.47379105963613172,0.23530931472174288,0.44549753817194682,0.21079881903369221,0.43971938160390517,41665.465899929237
28,0.48192835962348957,0.823293892115825,0.55348509107618526,0.37363421621349951,0.46613093143977197,0.52010676412093715,0.45025452508992742,0.32870102456220968,0.44164195607378,0.2794218798239505,0.53752934756854942,49688.161663922678
29,0.40844622553027149,0.73972384253105894,0.47043871220138528,0.21921466152403213,0.38173930052813987,0.45677127480827973,0.46822985369572523,0.23781441375470838,0.40964294133283846,0.17877208733116326,0.39430431489775752,37918.639134007411
30,0.43261612936547733,0.73482406848937865,0.5196939617157007,0.35406555998644884,0.3465200986762475,0.47458163537952269,0.44778837166294971,0.29910523237176218,0.35612743766721161,0.22559334321519164,0.41249625976581816,35126.250747306156
31,0.51422613042538523,0.78912782168322471,0.55666865139310717,0.403635641917658,0.48923860122134294,0.598749563448524,0.54774091604842734,0.38033071314106809,0.45314779380282422,0.29632554696292684,0.57435274065985975,46765.7140822259
32,0.4391490566645585,0.75797218911133,0.60066144541337374,0.3599205790741799,0.44925640377842851,0.67865808477556466,0.54034460949965157,0.34286050979281718,0.53192605918588465,0.22543487365392212,0.56811904321861606,44405.224365740447
