FOLIO,ENT,FAC_ELE,EST_DIS,UPM_DIS,biare,conf_gente,conf_conoce,cuenta_fami,cuenta_no_fami,f_reun_soc,f_reun_iglesia,f_reun_comp_esc,f_reun_depor,f_reun_comp_trab,f_reun_familiares,f_reun_ami_parej,f_reun_otr_ami,p_vecinos_padres,p_ong,p_voluntariado,p_autoayuda,p_org_depor,p_sindicato,p_filantropia,vecinos_nombre,apoyo_no _famil,donativo_org_apoyo,donativo_org_amb,trab_volun,asist_iglesia,org_iglesia
00001,01,1458,002,0000001,10,10,10,1,0,1,1,3,2,5,5,1,3,0,0,0,0,0,0,0,7,0,0,1,1,0,0
00002,01,353,002,0000001,9,3,5,1,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
00003,01,353,002,0000001,10,1,9,1,1,1,1,3,4,2,5,1,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0
00004,01,657,002,0000002,5,5,5,1,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
00005,01,985,002,0000002,10,8,8,1,0,1,1,1,1,1,5,1,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0
00006,01,657,002,0000002,6,5,8,0,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
00007,01,1018,002,0000002,8,8,9,1,1,2,1,2,4,2,4,1,5,0,0,0,0,0,0,0,7,1,0,0,1,0,0
00008,01,905,003,0000003,10,5,10,1,1,1,1,2,2,4,5,3,5,0,0,0,0,0,0,0,3,1,0,0,0,1,0
00009,01,876,003,0000003,9,8,10,1,0,1,2,1,4,1,4,4,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0
00010,01,1314,003,0000003,10,8,6,1,0,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
00011,01,876,003,0000003,9,0,6,1,1,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0
00012,01,452,003,0000003,9,7,9,1,1,1,1,1,1,2,4,1,3,0,0,0,0,0,0,0,7,1,0,0,0,0,0
00013,01,647,001,0000004,5,0,3,1,1,3,2,2,5,5,5,4,2,0,0,0,0,0,0,0,7,1,0,0,0,0,0
00014,01,627,001,0000004,10,5,6,1,1,1,1,1,1,3,5,1,3,0,0,0,0,0,0,0,3,1,1,0,0,1,0
00015,01,647,001,0000004,10,2,9,1,1,3,1,3,4,5,5,4,3,0,0,0,0,0,0,0,4,1,1,0,1,0,0
